iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,6185.3125,3075.669189453125,5060.0,3075.669189453125,11019.0
2,4929.51123046875,2519.892578125,4510.0,2519.892578125,11089.0
3,5616.06201171875,3030.0,5005.0,2519.892578125,11089.0
4,4659.85009765625,3755.0,4375.0,2519.892578125,11089.0
5,4710.08154296875,2750.0,4190.0,2519.892578125,11089.0
6,4679.98095703125,3090.0,4315.0,2519.892578125,11089.0
7,4442.45849609375,3125.0,4155.0,2519.892578125,11089.0
8,4316.39404296875,2800.0,4141.49462890625,2519.892578125,11089.0
9,4706.97705078125,2730.0,3995.0,2519.892578125,11089.0
10,4293.154296875,3095.0,4100.0,2519.892578125,11089.0
11,5317.36865234375,3288.771728515625,4465.0,2519.892578125,12159.0
12,5628.90869140625,2960.060302734375,4790.0,2519.892578125,12159.0
13,5075.21240234375,3700.0,4425.0,2519.892578125,12159.0
14,4283.19287109375,3065.0,4340.0,2519.892578125,12159.0
15,4546.994140625,2800.0,4435.0,2519.892578125,12159.0
16,4948.79736328125,2425.0,4460.0,2425.0,12159.0
17,5047.48193359375,2645.0,4750.0,2425.0,12159.0
18,4767.39013671875,2970.0,4171.4033203125,2425.0,12159.0
19,4903.18798828125,2810.0,4400.0,2425.0,12735.021484375
20,4255.55712890625,2955.0,4145.0,2425.0,12735.021484375
21,4646.74658203125,2698.30810546875,4295.0,2425.0,12735.021484375
22,4556.115234375,2610.0,4485.0,2425.0,12735.021484375
23,4566.42236328125,2910.0,4150.0,2425.0,12735.021484375
24,5248.19140625,2295.0,4675.0,2295.0,12735.021484375
25,4820.30908203125,2830.0,3980.0,2295.0,12735.021484375
26,4998.65576171875,3435.0,4320.0,2295.0,12735.021484375
27,4805.982421875,2915.0,4345.0,2295.0,12735.021484375
28,4920.65966796875,3060.0,4010.0,2295.0,12735.021484375
29,4693.96533203125,2830.0166015625,4311.9453125,2295.0,12735.021484375
30,4199.64453125,2440.0,3745.0,2295.0,12735.021484375
31,4405.51611328125,2815.0,4295.0,2295.0,12735.021484375
32,5165.009765625,2720.0,4505.6083984375,2295.0,12735.021484375
33,4698.767578125,1990.0,4232.98388671875,1990.0,12735.021484375
34,5073.98291015625,2935.0,4315.06201171875,1990.0,12735.021484375
35,6542.56201171875,3385.0,5243.0146484375,1990.0,12735.021484375
36,4929.451171875,3285.0,4025.0,1990.0,12735.021484375
37,4663.5615234375,2580.0,4335.03076171875,1990.0,12735.021484375
38,5917.71240234375,2740.0,5055.7109375,1990.0,12735.021484375
39,4994.142578125,3595.27978515625,4650.0,1990.0,12735.021484375
40,6197.85791015625,3135.0,4843.2373046875,1990.0,12735.021484375
41,5031.30126953125,3315.0,4370.0,1990.0,12735.021484375
42,5966.849609375,3086.75439453125,4990.0,1990.0,12735.021484375
43,5601.53125,2865.632080078125,4265.0,1990.0,12735.021484375
44,6237.38671875,2730.0,4435.0,1990.0,12735.021484375
45,5156.341796875,3115.0,4965.609375,1990.0,12735.021484375
46,6237.15673828125,2725.880615234375,4970.0,1990.0,12735.021484375
47,5296.53076171875,3312.242919921875,4630.0,1990.0,12735.021484375
48,5624.95703125,3268.326904296875,4665.0,1990.0,12735.021484375
49,5561.712890625,3095.07470703125,4410.0,1990.0,12735.021484375
50,5291.29833984375,3409.36669921875,4425.017578125,1990.0,12735.021484375
51,5011.24658203125,3182.740966796875,4565.03466796875,1990.0,12735.021484375
52,5559.5859375,2395.03466796875,4741.6103515625,1990.0,12735.021484375
53,6062.98681640625,3140.017578125,4744.50244140625,1990.0,12735.021484375
54,5256.79736328125,3270.03125,4400.0,1990.0,12735.021484375
55,5081.87939453125,3020.32763671875,4770.57177734375,1990.0,12735.021484375
56,4481.63818359375,3385.0,4385.0,1990.0,12735.021484375
57,6009.81103515625,3135.0,4818.099609375,1990.0,12735.021484375
58,5269.44677734375,3380.0,4740.0,1990.0,12735.021484375
59,4999.263671875,2917.65966796875,4470.0,1990.0,12735.021484375
60,5219.7197265625,3145.0341796875,4562.46875,1990.0,12735.021484375
61,5209.41064453125,3080.0,4571.328125,1990.0,12735.021484375
62,5342.46923828125,3040.0,4910.0,1990.0,12735.021484375
63,4649.23828125,3510.0,4315.40576171875,1990.0,12735.021484375
64,5271.20263671875,2771.958251953125,4655.0,1990.0,12735.021484375
65,4289.166015625,3235.000732421875,4245.0,1990.0,12735.021484375
66,4798.68701171875,3340.0,4450.0,1990.0,12735.021484375
67,4307.56396484375,3195.0,4170.0,1990.0,12735.021484375
68,4513.11181640625,3010.0,4072.029296875,1990.0,12735.021484375
69,5635.423828125,3035.15625,4630.0986328125,1990.0,12735.021484375
70,4798.701171875,3230.0,4570.01611328125,1990.0,12735.021484375
71,4968.55419921875,2899.0673828125,4610.0,1990.0,12735.021484375
72,5507.16796875,2895.902099609375,4825.0,1990.0,12735.021484375
73,5911.04736328125,3065.0,4457.8994140625,1990.0,12735.021484375
74,4837.080078125,3230.188720703125,4305.0,1990.0,12735.021484375
75,4631.0087890625,2911.269775390625,4215.0,1990.0,12735.021484375
76,4863.63818359375,2447.643310546875,4500.35205078125,1990.0,12735.021484375
77,5226.3291015625,2395.0,4505.0,1990.0,12735.021484375
78,4975.83203125,3110.0,4515.0,1990.0,12735.021484375
79,4855.92138671875,3180.0,4400.0,1990.0,12735.021484375
80,4392.55517578125,2430.03515625,4245.0,1990.0,12735.021484375
81,5607.9921875,3200.0,4850.0,1990.0,12735.021484375
82,4176.93994140625,2795.0009765625,4130.0,1990.0,12735.021484375
83,4373.36767578125,2705.0,4170.0,1990.0,12735.021484375
84,4953.89404296875,3325.0,4850.048828125,1990.0,12735.021484375
85,4540.07373046875,2745.0,4385.0,1990.0,12735.021484375
86,4740.46337890625,3145.0,4510.0,1990.0,12735.021484375
87,4328.03076171875,3000.0,3865.0,1990.0,12735.021484375
88,4819.63427734375,2225.0,4285.0,1990.0,12735.021484375
89,5190.29541015625,2765.0,4495.07861328125,1990.0,12735.021484375
90,5248.09716796875,3205.0,4545.0,1990.0,12735.021484375
91,6038.74169921875,3205.0,5360.44873046875,1990.0,12735.021484375
92,4811.0634765625,2325.0,4520.0,1990.0,12735.021484375
93,5044.9736328125,2445.0,4675.1416015625,1990.0,12735.021484375
94,3970.264404296875,2595.0,3845.0,1990.0,12735.021484375
95,5014.44775390625,3185.0,4615.0,1990.0,12735.021484375
96,4733.95263671875,3130.0,4460.0,1990.0,12735.021484375
97,5096.35888671875,2655.0,4210.0,1990.0,12735.021484375
98,4795.89599609375,2475.0,4295.0,1990.0,12735.021484375
99,5055.36767578125,3020.0,4190.0,1990.0,12735.021484375
100,5382.83203125,2650.0,4605.0,1990.0,12735.021484375
101,4404.24267578125,2950.0,4420.0,1990.0,12735.021484375
102,4124.41455078125,2685.0,3990.0,1990.0,12735.021484375
103,4455.7998046875,2935.0,4030.0,1990.0,12735.021484375
104,4576.45068359375,2410.0,4330.0,1990.0,12735.021484375
