iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,-492.71038818359375,-57.543724060058594,-581.5153198242188,-57.543724060058594,-1096.177734375
2,-606.7598876953125,-18.403640747070312,-460.8025817871094,-18.403640747070312,-2951.484375
3,-625.4910888671875,-85.25927734375,-411.3721923828125,-18.403640747070312,-2951.484375
4,-415.93878173828125,-60.151519775390625,-272.088134765625,-18.403640747070312,-2951.484375
5,-581.7817993164062,-73.5743408203125,-410.46258544921875,-18.403640747070312,-2951.484375
6,-274.16363525390625,-58.73064041137695,-180.52484130859375,-18.403640747070312,-2951.484375
7,-424.1236267089844,-11.970091819763184,-461.46343994140625,-11.970091819763184,-2951.484375
8,-216.7545623779297,-28.167348861694336,-168.239013671875,-11.970091819763184,-2951.484375
9,-484.1868591308594,-5.1340813636779785,-330.215087890625,-5.1340813636779785,-2951.484375
10,-518.1939086914062,-70.88490295410156,-423.8673095703125,-5.1340813636779785,-2951.484375
11,-699.1495971679688,-155.4204864501953,-718.4085693359375,-5.1340813636779785,-2951.484375
12,-637.7215576171875,-33.5676155090332,-691.8359375,-5.1340813636779785,-2951.484375
13,-656.2974243164062,-16.463016510009766,-617.5740356445312,-5.1340813636779785,-2951.484375
14,-754.8887939453125,-29.631507873535156,-840.2459716796875,-5.1340813636779785,-2951.484375
15,-723.4635620117188,-52.222740173339844,-613.30712890625,-5.1340813636779785,-2951.484375
16,-441.08306884765625,-13.239957809448242,-301.2112121582031,-5.1340813636779785,-2951.484375
17,-455.2574157714844,-107.6326904296875,-201.7739715576172,-5.1340813636779785,-2951.484375
18,-704.8646240234375,-50.647544860839844,-627.896728515625,-5.1340813636779785,-2951.484375
19,-412.1775817871094,-19.941944122314453,-420.48992919921875,-5.1340813636779785,-2951.484375
20,-176.54576110839844,-24.448259353637695,-191.51756286621094,-5.1340813636779785,-2951.484375
21,-288.71893310546875,-22.94508171081543,-301.3539733886719,-5.1340813636779785,-2951.484375
22,-197.2461395263672,-48.55211639404297,-177.70294189453125,-5.1340813636779785,-2951.484375
23,-187.63648986816406,-24.665315628051758,-144.65426635742188,-5.1340813636779785,-2951.484375
24,-236.2998046875,-9.99041748046875,-214.92547607421875,-5.1340813636779785,-2951.484375
25,-243.61074829101562,-25.70461082458496,-250.90870666503906,-5.1340813636779785,-2951.484375
26,-109.72410583496094,-18.078100204467773,-87.33563995361328,-5.1340813636779785,-2951.484375
27,-166.73924255371094,-46.83940887451172,-208.32862854003906,-5.1340813636779785,-2951.484375
28,-119.42093658447266,-11.348929405212402,-58.628257751464844,-5.1340813636779785,-2951.484375
29,-135.31126403808594,-17.958284378051758,-76.55891418457031,-5.1340813636779785,-2951.484375
30,-181.7422637939453,-4.807672023773193,-198.3830108642578,-4.807672023773193,-2951.484375
31,-198.37994384765625,-21.63692855834961,-163.65528869628906,-4.807672023773193,-2951.484375
32,-134.42333984375,-5.900116920471191,-126.7379150390625,-4.807672023773193,-2951.484375
33,-152.03701782226562,-21.27681541442871,-165.2876739501953,-4.807672023773193,-2951.484375
34,-132.4912109375,-3.984286069869995,-133.2930908203125,-3.984286069869995,-2951.484375
35,-90.97163391113281,-16.95760154724121,-94.59332275390625,-3.984286069869995,-2951.484375
36,-142.61917114257812,-6.019503116607666,-133.0486602783203,-3.984286069869995,-2951.484375
